Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-07-25,,,,,,2,38,47,68,43,18,11,18,22,16,24,26,38,31,13,20,12,5,5
2019-07-26,1,3,,,2,3,29,38,41,25,18,13,14,5,17,21,28,31,8,24,11,9,5,3
2019-07-27,2,,1,1,1,3,8,15,3,7,6,5,4,9,10,2,6,9,7,,4,1,5,1
2019-07-28,4,,,1,1,2,4,8,9,10,17,12,15,24,7,14,7,19,11,5,6,2,6,1
2019-07-29,,,,,1,4,24,57,43,19,10,15,10,10,22,16,29,36,29,21,18,6,8,2
2019-07-30,2,,1,,3,3,25,53,52,24,23,19,21,13,19,18,23,37,18,12,11,4,6,2
2019-07-31,1,,,,3,4,23,41,47,19,9,12,22,10,14,19,26,33,15,8,16,6,3,3
2019-08-01,1,,1,1,1,6,28,43,50,29,17,17,15,16,27,18,31,43,20,27,15,5,11,2
2019-08-02,4,,,,3,4,26,50,50,22,14,13,12,17,26,27,41,31,18,7,10,12,6,3
2019-08-03,1,,1,,2,4,8,24,17,15,25,13,14,27,21,18,27,23,9,7,14,1,3,4
2019-08-04,2,,,,,3,2,5,22,13,23,23,16,13,17,20,18,7,20,8,7,4,3,1
2019-08-05,,,,,2,4,22,52,48,22,8,10,7,21,16,16,28,41,19,10,7,7,13,1
2019-08-06,1,4,1,1,2,5,24,57,71,30,14,10,13,18,17,18,28,38,15,15,18,8,7,7
2019-08-07,,,,1,3,4,29,47,55,28,21,11,15,22,22,17,31,45,16,12,17,4,8,2
2019-08-08,5,,,,3,7,35,63,70,26,16,15,20,23,28,21,40,44,25,15,17,9,4,6
2019-08-09,,2,1,,,3,23,31,36,18,7,9,19,15,12,12,23,24,19,13,13,3,1,3
2019-08-10,1,,,,1,5,11,15,13,17,13,6,14,8,11,8,10,11,10,3,7,1,8,
2019-08-11,3,,,,,,7,9,10,12,13,14,9,14,19,18,18,11,11,12,5,4,7,2
2019-08-12,4,,,,1,3,20,46,65,29,12,14,8,12,18,13,22,31,23,15,11,4,9,1
2019-08-13,2,2,,1,3,1,20,63,63,39,18,9,13,24,23,25,27,38,25,14,12,6,11,2
2019-08-14,1,,,,2,3,33,48,45,23,11,18,13,16,15,22,17,36,15,20,9,10,3,1
2019-08-15,1,1,,,2,4,24,48,53,33,15,12,15,20,28,22,28,33,24,12,12,7,4,1
2019-08-16,,,,,1,5,26,38,41,31,11,9,9,14,7,17,16,20,12,3,9,2,2,2
2019-08-17,3,,1,,2,1,6,21,14,15,6,13,16,17,8,16,9,17,6,13,7,3,3,3
2019-08-18,2,5,,,,,2,6,9,12,16,7,20,20,24,21,13,24,6,12,7,5,6,
2019-08-19,1,,,,1,2,25,58,61,27,13,15,16,12,17,14,30,37,31,13,17,6,3,1
2019-08-20,,1,,,3,3,21,64,75,25,9,17,14,21,14,21,28,54,31,26,17,4,7,3
2019-08-21,,,1,,1,4,32,49,57,15,19,12,11,18,22,23,19,37,16,15,8,8,7,
2019-08-22,2,,,,1,5,31,49,54,34,16,11,12,15,26,22,38,48,23,12,10,8,5,3
2019-08-23,,,,,1,5,20,38,41,35,12,18,10,15,18,27,28,33,17,19,11,6,5,4
2019-08-24,2,1,,,1,,11,24,12,15,23,20,15,15,18,18,7,10,13,15,9,5,5,4
2019-08-25,1,,1,,,3,5,11,13,10,27,16,27,26,28,12,25,22,3,8,10,3,,2
