Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2016-07-05,,,,,,,,,,,,,3,9,6,8,16,11,7,4,5,7,2,
2016-07-06,,,,,4,4,15,37,24,11,8,7,4,7,7,7,15,15,8,2,3,4,,1
2016-07-07,2,1,,1,1,5,11,39,18,9,5,4,12,11,6,5,16,12,11,3,2,,2,1
2016-07-08,1,,,1,,2,9,26,20,6,4,3,10,8,2,5,8,10,6,4,2,2,2,
2016-07-09,1,1,,,,1,2,1,6,3,5,3,4,4,5,2,6,1,1,2,1,2,,
2016-07-10,,,,,,1,2,3,5,12,9,9,5,3,4,5,4,3,2,4,2,,2,1
2016-07-11,1,,,2,3,6,9,31,19,13,5,3,5,6,6,2,15,11,7,4,2,2,2,4
2016-07-12,,,,1,2,9,14,43,22,10,8,6,11,5,7,11,22,14,7,10,3,4,4,1
2016-07-13,1,,,1,3,4,14,39,34,11,5,8,2,6,9,8,17,18,8,9,3,2,1,
2016-07-14,1,1,1,1,2,9,23,26,25,6,4,7,9,8,5,9,13,16,10,5,4,6,,1
2016-07-15,,,,1,1,3,19,19,20,3,3,9,10,7,6,7,10,9,7,1,1,1,2,
2016-07-16,1,1,,1,2,1,2,4,4,,3,19,5,10,1,6,4,2,8,3,1,,2,
2016-07-17,,,,,2,1,3,1,9,21,23,10,13,2,10,6,3,5,6,5,3,3,,
2016-07-18,,1,,3,1,4,15,28,23,6,8,6,9,5,6,7,11,15,8,6,2,2,,
2016-07-19,,1,,1,1,5,21,42,28,6,5,6,4,3,6,9,3,14,7,4,1,2,3,
2016-07-20,,,,1,2,2,20,30,24,7,10,3,10,5,5,8,10,12,12,9,4,5,1,
2016-07-21,,2,,1,2,5,14,34,28,7,5,6,8,12,8,8,8,12,13,11,6,2,2,
2016-07-22,1,,,2,1,5,7,31,25,7,13,2,6,12,4,5,15,4,7,4,6,1,,
2016-07-23,1,,2,,,4,1,5,4,3,7,7,9,8,3,1,7,6,4,3,2,,2,1
2016-07-24,1,,,,,2,3,2,3,11,9,8,5,2,3,5,3,1,5,3,3,,,
2016-07-25,,,,3,1,4,14,39,31,8,7,8,5,4,2,9,10,14,10,7,6,1,4,
2016-07-26,1,,,1,2,6,21,35,24,3,7,9,7,2,4,7,10,22,17,3,1,2,2,2
2016-07-27,,,1,1,1,7,14,29,24,9,7,6,7,3,5,7,12,16,7,9,5,,4,
2016-07-28,1,,2,,1,6,13,34,20,3,2,7,3,3,3,9,7,11,10,3,3,3,,1
2016-07-29,,1,,,1,5,7,15,13,4,1,4,2,4,8,5,4,8,2,1,2,1,2,1
2016-07-30,,1,,,1,3,1,5,4,4,7,4,7,3,2,10,6,5,5,2,7,1,1,
2016-07-31,,,,,1,1,3,4,4,7,3,2,4,4,11,1,9,5,4,1,6,3,2,1
