Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2021-04-01,,,,,,,,,1,,,2,2,4,,2,1,,2,1,,,,
2021-04-02,,,,,1,,,,3,1,4,4,1,9,4,4,4,,1,,,,,
2021-04-03,,,,,1,,,,1,3,6,7,4,4,3,4,4,2,2,,,,,
2021-04-04,,,,,1,,1,,2,2,2,6,3,6,4,,7,,2,,,,,
2021-04-05,,,,,,,,1,,,2,5,4,1,,1,2,,,,,,,
2021-04-06,,,,,,,,1,1,,1,5,3,1,,4,,,,2,,,,
2021-04-07,,,,,,1,,,,1,1,4,4,3,,5,2,2,2,,,,,
2021-04-08,,,,,,,,,,1,3,4,1,,,,1,1,1,2,,,,
2021-04-09,,,,,,,,,,1,3,2,,5,,1,4,2,2,,1,,,
2021-04-10,,,,,,,,1,2,2,4,2,4,1,1,,5,1,,2,,,,
2021-04-11,,,,,,,,,,3,7,2,6,1,2,4,1,1,2,,,,,
2021-04-12,,,,,,,,,,,4,1,1,1,2,1,1,2,,,,,,
2021-04-13,,,,,,,,,,1,1,3,1,2,,2,2,3,,,,,,
2021-04-14,,,,,,1,,,,1,1,4,5,2,,,3,3,2,,,,,
2021-04-15,,,,,,,,2,,,,,1,1,1,,5,1,1,1,,,,
2021-04-16,,,,,,,,,1,,4,4,,3,4,1,3,4,1,1,,,,
2021-04-17,,,,,,,,,2,5,4,9,4,3,7,2,2,3,,1,,,,
2021-04-18,,,,,,,,1,1,2,7,10,6,3,3,3,2,,,,1,,,
2021-04-19,,,,,,1,,1,,,,2,2,2,3,1,6,4,3,,,,,
2021-04-20,,,,,,,,,1,3,5,2,3,,,1,7,1,,,,,,
2021-04-21,,,,,,1,1,,,,1,,,,,1,2,1,4,1,,,,
2021-04-22,,,,,,,,1,,1,2,2,3,,2,1,5,7,,1,,,,
2021-04-23,,,,,,,,1,,,1,2,2,3,4,1,9,1,3,3,1,1,,
2021-04-24,,,,,,,,,2,5,1,9,4,7,3,2,4,1,,1,,,,
2021-04-25,,,,,,,,2,1,2,4,2,6,4,1,3,1,2,4,,1,,,
2021-04-26,,,,,,,,,,,,2,1,,3,2,1,1,2,,,,,
2021-04-27,,,,,,1,,,1,,1,,,,3,,,1,4,,,,,
2021-04-28,,,,,,,,,,,,3,,1,,,4,2,2,,,,,
2021-04-29,,,,,,,2,,,,3,1,2,,1,,2,,6,,,,,
2021-04-30,,,,,,,,,,,2,2,,4,1,1,1,2,,,,,,
2021-05-01,,,,,,,,,1,5,2,5,2,6,2,1,2,2,2,1,,,,
2021-05-02,,,,,,,,1,2,4,5,8,,4,2,1,1,5,,3,,,,
2021-05-03,,,,,,,,2,1,1,4,7,,1,,,,,,,,,,
2021-05-04,,,,,,1,1,,,,,,,1,,,1,1,,,,,,
2021-05-05,,,,,,,,,,,1,2,4,,4,1,3,3,2,3,,,,
2021-05-06,,,,,,,,,,1,,,,,2,,1,1,1,3,1,,,
2021-05-07,,,,,,,,,,1,2,,2,7,3,1,,2,2,1,,,,
2021-05-08,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-09,,,,,,,,,,1,3,3,8,14,7,,4,,2,1,,,,
2021-05-10,,,,,,,,,1,,1,3,3,,4,,,1,2,,,,,
2021-05-11,,,,,,,1,2,,1,2,3,,5,1,,,1,,,,,,
2021-05-12,,,,,,,1,,,,2,2,2,2,7,,1,12,1,,1,,2,
2021-05-13,,,,,,,1,1,1,2,1,1,2,2,1,1,3,,6,,,,,
2021-05-14,,,,,,,,,,,1,1,3,,4,2,5,1,1,,1,,,
2021-05-15,,,,,,,,,1,,2,4,,1,4,1,1,,,,,,,
2021-05-16,,,,,,,,2,,7,5,5,2,1,,1,2,1,1,,,,,
2021-05-17,,,,,,1,,1,1,,,2,,,1,,,3,,1,,,,
2021-05-18,,,,,,,1,,,,2,,3,1,,1,6,4,8,1,,,,
2021-05-19,,,,,,,1,1,,4,2,,,,,,3,3,3,3,2,,,
2021-05-20,,,,,,1,1,1,1,2,1,,,,,,,2,,,1,,,
2021-05-21,,,,,,,,,,,,,1,1,,,,1,3,,,,,
2021-05-22,,,,,,,,1,2,1,2,3,4,2,1,1,2,,2,3,,,,
2021-05-23,,,,,,,,2,,8,5,6,1,1,3,,1,,,,,,,
2021-05-24,,,,,,1,,2,1,1,,1,,1,,,,1,,,,1,,
2021-05-25,,,,,,1,,,,,3,3,,,,1,,4,,,,,,
2021-05-26,,,,,,1,,,,,1,,,,,,1,3,1,,,2,,
2021-05-27,,,,,,1,,,1,1,1,2,2,,,5,5,,4,1,1,,,
2021-05-28,,,,,,,1,,1,,,1,1,,1,,,3,,,,,,
2021-05-29,,,,,,,1,1,1,,1,6,2,1,6,2,2,,1,,,,,
2021-05-30,,,,,,,,,4,,2,8,7,2,7,1,,2,1,,,,,
2021-05-31,,,,,,,,,2,2,4,5,2,6,4,3,2,,,,1,2,,
