Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-06-26,,,,,,,,,,,1,,4,,6,8,5,11,8,4,2,,1,1
2019-06-27,,,,,,2,3,5,3,4,3,6,2,3,5,6,11,17,9,10,2,,1,1
2019-06-28,,,,,,2,2,6,,5,6,5,3,6,3,7,9,6,6,4,2,1,,
2019-06-29,,2,,,,,1,7,5,18,4,11,6,4,23,15,8,1,3,2,3,,1,
2019-06-30,,,,,,,1,4,6,3,20,25,13,9,7,5,4,1,,1,3,2,,
2019-07-01,,,,,,1,,6,2,2,5,,1,3,3,5,7,4,6,5,1,,,
2019-07-02,,,,,,1,3,6,1,3,2,5,3,3,3,6,6,7,8,9,2,1,1,3
2019-07-03,,,,,,2,2,4,2,11,3,1,5,2,8,2,4,8,13,5,7,4,,
2019-07-04,,,,,,2,1,5,10,2,6,11,4,2,7,2,6,13,5,11,1,,1,
2019-07-05,,,,,,2,2,2,1,3,8,6,11,6,3,5,10,6,14,3,5,,,
2019-07-06,,,,,,,,1,7,10,1,8,12,4,3,18,18,4,1,2,,1,,
2019-07-07,,,,,,,,3,6,23,15,13,20,20,12,12,4,10,,1,3,,,
2019-07-08,,,,,,3,1,4,4,7,8,5,4,3,7,3,4,9,7,6,1,1,1,
2019-07-09,,,,,,1,3,4,2,5,2,7,2,2,1,2,2,8,10,6,2,1,1,
2019-07-10,1,,,,,3,2,4,4,2,1,8,4,5,7,1,6,17,3,7,4,2,1,
2019-07-11,,,,,,3,1,3,3,2,4,1,,,3,4,3,14,5,6,1,4,,
2019-07-12,,,,,,2,1,2,4,7,6,9,6,2,5,3,1,6,3,4,2,5,,
2019-07-13,,,,,,1,2,,6,9,12,6,9,4,9,4,3,9,1,,,,,
2019-07-14,,,,,,,1,2,2,5,8,8,23,6,12,7,6,5,6,1,6,1,,
2019-07-15,,,,,,4,1,3,4,2,5,9,9,11,4,4,5,12,11,1,3,1,,
2019-07-16,,,,,,3,,4,2,3,6,3,3,4,6,8,6,15,8,4,1,2,1,1
2019-07-17,,,,,,4,2,3,1,2,6,9,2,2,8,3,6,11,3,2,2,,,
2019-07-18,,,,,,4,2,4,,,8,4,6,2,8,6,7,12,8,8,1,3,,
2019-07-19,,,,1,,2,3,3,4,4,4,3,1,1,4,4,2,5,3,2,,,,
2019-07-20,,,,,,1,1,,1,3,4,5,2,11,13,5,4,2,6,3,1,1,,
2019-07-21,,,,,,,1,5,6,9,15,17,18,11,7,10,8,3,4,2,,,,
2019-07-22,,,1,,,1,4,2,3,4,10,15,8,11,14,5,9,9,7,5,,,2,
2019-07-23,,,,,,1,2,2,2,2,8,11,19,18,6,13,11,7,4,6,4,,,
2019-07-24,,,,,,,1,2,2,1,6,3,4,3,8,3,13,14,9,4,5,3,,1
2019-07-25,,,,,,2,5,4,,2,9,10,5,3,9,3,9,12,8,4,4,2,,
2019-07-26,,,,,,1,,6,2,1,4,5,3,6,3,7,9,5,6,,,1,,
2019-07-27,,,,,,,,2,1,5,6,5,1,1,,1,5,1,,,1,,,
2019-07-28,,,,,,,,1,1,2,6,5,12,4,14,6,,1,1,,,,,
2019-07-29,,,,,,2,,1,1,3,6,1,4,3,9,5,11,14,12,3,3,3,,
2019-07-30,,,,,,1,2,4,1,3,4,5,3,,4,,3,8,4,1,,1,,3
2019-07-31,,,,,,1,2,3,2,5,,,2,3,1,,2,8,2,,5,1,,
2019-08-01,,,,1,,2,1,6,5,1,6,4,3,4,3,6,9,13,4,11,3,4,,
2019-08-02,,,,,,2,,3,3,6,12,12,13,12,9,10,6,6,10,2,3,,,
2019-08-03,,,,,,1,,4,8,6,11,11,17,15,16,3,2,5,2,2,1,2,,
2019-08-04,,,,,,,2,7,3,5,23,18,14,9,7,8,5,1,2,3,4,,1,
2019-08-05,,,,,,,2,2,,3,9,2,9,4,4,8,9,13,11,3,3,2,,
2019-08-06,,,,,,2,5,1,2,4,9,22,4,4,6,5,1,11,8,3,1,1,,
2019-08-07,,,,,,2,3,3,3,2,1,6,2,7,3,9,2,10,6,7,2,3,,
2019-08-08,,,,1,,2,2,1,3,8,11,7,13,7,6,8,12,6,8,8,1,3,,
2019-08-09,,,,,,2,1,1,1,1,1,,2,4,6,3,3,2,2,1,,,,1
2019-08-10,,,,,,1,1,2,2,1,1,1,4,1,2,,,,2,,,,,
2019-08-11,,1,,,,,,2,2,6,5,3,8,14,9,8,1,,5,1,,,,
2019-08-12,,,,,,3,3,1,4,3,3,5,4,4,12,6,3,11,10,6,,2,,
2019-08-13,,,,,,3,1,2,1,9,5,4,1,5,12,,3,13,9,8,1,4,,1
2019-08-14,,,,,,3,3,2,3,,2,5,1,1,2,1,2,9,7,6,,2,,1
2019-08-15,,,,,,2,2,2,,2,3,4,6,10,3,2,10,11,5,4,2,1,,
2019-08-16,,,,,,3,2,1,,,,1,5,1,1,,3,1,2,1,,,4,
2019-08-17,,,,,,,,4,,11,8,12,4,8,12,13,,10,2,,1,,,
2019-08-18,,,,,,,2,4,3,4,15,10,12,7,2,10,1,4,2,,1,,,
2019-08-19,,,,,,3,2,4,,7,7,10,2,,4,4,7,9,6,11,1,,,
2019-08-20,,,,,,3,7,2,2,1,2,11,3,6,8,2,8,12,11,11,1,,2,
